model,auroc,auprc,f1,tpr_at_fpr_1pct,tpr_at_fpr_5pct,fpr_at_tpr_95pct,ece,brier_score
original_combined_public_full_allfeatures,0.6199111111111112,0.6057719594173214,0.609271523178808,0.02,0.0533333333333333,0.9466666666666668,,0.2465336296296296
cleaned_full_allfeatures,0.630311111111111,0.6197044917497937,0.6118421052631579,0.0266666666666666,0.0533333333333333,0.9466666666666668,0.0825,0.2435504814814814
tuned_full_allfeatures,0.6323555555555556,0.6177860766876053,0.6225165562913907,0.02,0.04,0.9333333333333332,0.0780866666666666,0.2423545733333333
best_ablation_full_cleaned,0.6334222222222223,0.6223868829089874,0.6033898305084746,0.02,0.0666666666666666,0.9533333333333334,,0.2440099259259259
train_m4,0.6513555555555556,0.6251646474113441,0.6666666666666666,0.0,0.0666666666666666,0.98,0.4159555555555554,0.4146216296296297
train_leave_out_ghostbuster,0.6486444444444445,0.6230261740412133,0.6542553191489362,0.02,0.06,0.8866666666666667,0.1250777777777778,0.250356037037037
train_combined_strict,0.6332444444444445,0.6186989044672537,0.6193548387096774,0.02,0.0466666666666666,0.94,0.0847777777777777,0.2442302222222222
train_balanced_combined_strict,0.5213333333333333,0.5337284941421168,0.1403508771929824,0.0333333333333333,0.0733333333333333,0.94,0.2645222222222221,0.3235578148148148
m4_only_cleaned,0.6513555555555556,0.6251646474113441,0.6666666666666666,0.0,0.06666666666666667,0.98,0.4159555555555554,0.4146216296296297
m4_domain_balanced,0.5000222222222223,0.47588314159653183,0.5034013605442177,0.0,0.0,0.9333333333333333,0.4311949214859242,0.4514250210599687
m4_generator_balanced,0.6176888888888888,0.6006134068482109,0.6697247706422018,0.006666666666666667,0.08666666666666667,0.9,0.3399,0.3607802592592592
m4_label_balanced,0.6056222222222222,0.5971811163111952,0.6457831325301204,0.03333333333333333,0.06666666666666667,0.9533333333333334,0.22185555555555567,0.29106344444444443
m4_plus_hc3,0.6486444444444445,0.6230261740412133,0.6542553191489362,0.02,0.06,0.8866666666666667,0.12507777777777782,0.25035603703703707
m4_plus_hc3_balanced,0.6046666666666666,0.5933964096737033,0.1286549707602339,0.03333333333333333,0.06,0.9133333333333333,0.2605555555555555,0.3060152592592592
m4_plus_hc3_without_extreme_domains,0.6480222222222222,0.62249941767127,0.6576819407008087,0.013333333333333334,0.06,0.8866666666666667,0.11461111111111111,0.2493006296296296
