train_name,feature_set,n_features
m4,transition_all,348
m4,transition_top20,20
m4,transition_top50,50
m4,transition_top100,100
m4,transition_summary_only,99
m4,transition_l1_selected,204
leave_out_ghostbuster,transition_all,348
leave_out_ghostbuster,transition_top20,20
leave_out_ghostbuster,transition_top50,50
leave_out_ghostbuster,transition_top100,100
leave_out_ghostbuster,transition_summary_only,99
leave_out_ghostbuster,transition_l1_selected,210
combined_strict,transition_all,348
combined_strict,transition_top20,20
combined_strict,transition_top50,50
combined_strict,transition_top100,100
combined_strict,transition_summary_only,99
combined_strict,transition_l1_selected,212
