train_name,test_name,n_train,n_test,n_features,best_model,auroc,auprc,f1,tpr_at_fpr_1pct,tpr_at_fpr_5pct,fpr_at_tpr_95pct,ece,brier_score,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,f1_ci_low,f1_ci_high
train_ghostbuster,ghostbuster_strict_test,5295,670,276,random_forest,0.997744724755983,0.9984513044945122,0.980544747081712,0.9612403100775194,0.9870801033591732,0.0035335689045936395,0.04731840796019904,0.023037628524046432,0.9959901471773698,0.999274771229937,0.9972092048974545,0.999541032413016,0.9706716996993113,0.9895287958115183
train_ghostbuster,m4_strict_test,5295,1965,276,random_forest,0.862422183465349,0.9702580522118378,0.8498677248677249,0.2422062350119904,0.5329736211031175,0.5454545454545454,0.21978795589482614,0.16459293751767037,0.8424399246360297,0.8855880282349716,0.9630680064019712,0.9764795721367594,0.8360665575016264,0.8617936577408188
train_ghostbuster,hc3_plus_strict_test,5295,266,276,random_forest,0.901715468796214,0.9452768738383567,0.8448844884488449,0.639751552795031,0.6956521739130435,0.5523809523809524,0.05979949874686714,0.12511353383458648,0.8618838522687837,0.9357497039809165,0.9192795363740573,0.9669156034493703,0.7999312714776633,0.884856570063976
train_ghostbuster,all_samples,5295,300,276,random_forest,0.27131111111111106,0.3729348205728833,0.03296703296703297,0.006666666666666667,0.006666666666666667,0.9866666666666667,0.4207333333333334,0.4175217037037037,0.22103742319401828,0.33462267420218683,0.3278433111168163,0.4425422196085773,0.0,0.07108421189639465
train_m4,ghostbuster_strict_test,15623,670,276,random_forest,0.9003844011650733,0.9267918215366142,0.8428005284015853,0.39018087855297157,0.5581395348837209,0.48056537102473496,0.04261194029850745,0.12778721393034825,0.8823141556449262,0.9187236009607425,0.90909254890397,0.9446530027932819,0.8175651660302476,0.8665476385792551
train_m4,m4_strict_test,15623,1965,276,random_forest,0.9942480359147026,0.9989507649671864,0.9822064056939501,0.8866906474820144,0.9760191846522782,0.026936026936026935,0.026783715012722725,0.022475312411648293,0.9916446425465995,0.9966091829367509,0.9984378017559502,0.999363341575138,0.9771475575130345,0.9858394210865005
train_m4,hc3_plus_strict_test,15623,266,276,random_forest,0.9369417332150252,0.9503359342996942,0.7594339622641509,0.40372670807453415,0.6024844720496895,0.26666666666666666,0.33964912280701753,0.31371846282372595,0.9035558305750571,0.9617832474055742,0.9206122637956233,0.9734589613114288,0.7049928660049627,0.8027737796922567
train_m4,all_samples,15623,300,276,random_forest,0.6513555555555556,0.6251646474113441,0.6666666666666666,0.0,0.06666666666666667,0.98,0.4159555555555554,0.4146216296296297,0.5776913723563981,0.711048082875081,0.5418138799777982,0.7062841339488813,0.6206102018115367,0.7154084468540708
train_hc3_plus,ghostbuster_strict_test,581,670,276,random_forest,0.9344874498954537,0.9562291251666023,0.8121212121212121,0.5607235142118863,0.751937984496124,0.38515901060070673,0.172318407960199,0.1460111774461028,0.9184713538255199,0.9497558022469881,0.9432642419276975,0.9659015080389232,0.7827927223331343,0.8385229705827593
train_hc3_plus,m4_strict_test,581,1965,276,random_forest,0.9163891109334755,0.9822662899711011,0.8732207878186031,0.28776978417266186,0.6336930455635491,0.39730639730639733,0.2000966921119592,0.13433674300254456,0.9007769896093448,0.9340620638610632,0.9771321110509728,0.9870902379668232,0.857690527052732,0.8856480803542183
train_hc3_plus,hc3_plus_strict_test,581,266,276,random_forest,0.9632653061224491,0.9776749767957801,0.9130434782608695,0.6956521739130435,0.8322981366459627,0.19047619047619047,0.056679197994987454,0.07587222222222222,0.9405084451277159,0.9808420612094595,0.9629336526833124,0.9889412221609865,0.8781924460431655,0.9448020078081427
train_hc3_plus,all_samples,581,300,276,random_forest,0.5970666666666666,0.5795522949127698,0.10843373493975904,0.02666666666666667,0.06,0.92,0.24713333333333334,0.3043896296296297,0.5283770354904541,0.6630608539079409,0.4956295881235573,0.6684901646124481,0.03769606728802,0.17445374393048813
train_combined_strict,ghostbuster_strict_test,21499,670,276,random_forest,0.9922480620155039,0.9938420831931558,0.9632446134347274,0.7803617571059431,0.9741602067183462,0.03180212014134275,0.05836815920398007,0.037960464344941956,0.9865706387614275,0.995933512395719,0.9896021011149772,0.9972156124799317,0.9504874625393573,0.973699431741307
train_combined_strict,m4_strict_test,21499,1965,276,random_forest,0.9910909656113494,0.9983412853584541,0.9827483640690066,0.8045563549160671,0.9646282973621103,0.03367003367003367,0.034832909245122876,0.02597700876448968,0.9872301721728192,0.9943798297580492,0.9975437793665473,0.9989673127375116,0.9780842321693947,0.9864018739271638
train_combined_strict,hc3_plus_strict_test,21499,266,276,random_forest,0.9511387163561076,0.972767194988169,0.8432432432432433,0.7329192546583851,0.8633540372670807,0.34285714285714286,0.16043859649122805,0.13646746031746032,0.9285582423521845,0.9727812777284828,0.9586956803460845,0.9858575640572672,0.8,0.8756835199315411
train_combined_strict,all_samples,21499,300,276,random_forest,0.6332444444444445,0.6186989044672537,0.6193548387096774,0.02,0.04666666666666667,0.94,0.08477777777777777,0.24423022222222224,0.5730008935854655,0.6970769954567725,0.5381011639985422,0.6962499497989425,0.5524410774410774,0.682638348680283
train_balanced_combined_strict,ghostbuster_strict_test,1458,670,276,random_forest,0.9894175546242272,0.9925959522197156,0.9394347240915208,0.834625322997416,0.9483204134366925,0.05653710247349823,0.07707960199004975,0.05320983416252073,0.9841177747269054,0.9937092682836787,0.9889393557464158,0.9961151340305554,0.9195668440638629,0.9564125138166231
train_balanced_combined_strict,m4_strict_test,1458,1965,276,random_forest,0.9544475530686563,0.9912012918428283,0.9232720355104629,0.5671462829736211,0.7547961630695443,0.24579124579124578,0.12569635284139102,0.08709665818490245,0.9427983467351946,0.9645211386059157,0.9885839138000206,0.9935715395287879,0.9124490435451431,0.9313587098237724
train_balanced_combined_strict,hc3_plus_strict_test,1458,266,276,random_forest,0.9666075125702455,0.9798074093611606,0.9216300940438872,0.7018633540372671,0.8571428571428571,0.21904761904761905,0.06617794486215543,0.07488425229741019,0.9464832767069022,0.982322478948389,0.9660811757487724,0.9899049047551401,0.8838672168042011,0.9545454545454546
train_balanced_combined_strict,all_samples,1458,300,276,random_forest,0.5213333333333333,0.5337284941421168,0.14035087719298245,0.03333333333333333,0.07333333333333333,0.94,0.26452222222222216,0.3235578148148148,0.4548376654013597,0.5942240251661935,0.44858071436686003,0.625302351248061,0.07111344537815126,0.20113927291346648
train_leave_out_ghostbuster,ghostbuster_strict_test,16204,670,276,random_forest,0.9077482857168945,0.9356999901505917,0.8443271767810027,0.4418604651162791,0.6304909560723514,0.4876325088339223,0.04053233830845768,0.12160542288557212,0.8905779829950007,0.9249724852676583,0.9208152367935821,0.9502740642051196,0.8184432352495071,0.867938743861463
train_leave_out_ghostbuster,m4_strict_test,16204,1965,276,random_forest,0.9924989301488103,0.998599710127872,0.9813333333333333,0.842326139088729,0.9664268585131894,0.03367003367003367,0.03240882103477527,0.023861334464235228,0.989559817456423,0.9956488005738391,0.9979660255447151,0.9992001386920115,0.976438887079613,0.9852529001115927
train_leave_out_ghostbuster,hc3_plus_strict_test,16204,266,276,random_forest,0.953416149068323,0.9741380358610225,0.8186528497409327,0.7515527950310559,0.8757763975155279,0.29523809523809524,0.1878822055137844,0.15330321637426902,0.9315512642341647,0.974089434236963,0.9608342542941155,0.9853814002709052,0.7773889444886808,0.857821436006711
train_leave_out_ghostbuster,all_samples,16204,300,276,random_forest,0.6486444444444445,0.6230261740412133,0.6542553191489362,0.02,0.06,0.8866666666666667,0.12507777777777782,0.25035603703703707,0.5872491772912581,0.7047713231699186,0.5490870670390793,0.7059455834022108,0.594560238204306,0.7082498521422604
train_leave_out_m4,ghostbuster_strict_test,5876,670,276,random_forest,0.9976579834004438,0.9983885480789225,0.979328165374677,0.9509043927648578,0.9922480620155039,0.007067137809187279,0.04822885572139303,0.023413598673300166,0.9959777925985855,0.9992085847096879,0.9969613578172163,0.9994225835860259,0.9686976539665296,0.9879265879124263
train_leave_out_m4,m4_strict_test,5876,1965,276,random_forest,0.886458509959709,0.9769421161436622,0.8692533420280404,0.3764988009592326,0.6037170263788969,0.4781144781144781,0.17294995759117893,0.13982888323437942,0.8684940760219825,0.906721022727653,0.971580642511476,0.982100650500688,0.8550668896321071,0.881536664603638
train_leave_out_m4,hc3_plus_strict_test,5876,266,276,random_forest,0.9506654835847383,0.9707630347015865,0.906832298136646,0.6645962732919255,0.8260869565217391,0.21904761904761905,0.05571428571428574,0.0874610693400167,0.9199725025473926,0.9717839575059241,0.9521833218264443,0.9840466834385904,0.8708707635769702,0.937774199843872
train_leave_out_m4,all_samples,5876,300,276,random_forest,0.40357777777777776,0.448311922532198,0.08235294117647059,0.02,0.04,0.9866666666666667,0.2995333333333334,0.3520182222222222,0.33696020559278606,0.47302864489909874,0.38726547125973687,0.5237261444612848,0.02408569187994582,0.14373421831036723
train_leave_out_hc3_plus,ghostbuster_strict_test,20918,670,276,random_forest,0.9905314962427296,0.9923753904732615,0.9608091024020228,0.7674418604651163,0.9560723514211886,0.04240282685512368,0.05722388059701491,0.04056222222222222,0.9841953247246306,0.994848005374239,0.986773001709872,0.9967481960549042,0.9473473121305939,0.9743162578945764
train_leave_out_hc3_plus,m4_strict_test,20918,1965,276,random_forest,0.9919407908017022,0.9985070572353344,0.9815695600475625,0.8069544364508393,0.9730215827338129,0.03367003367003367,0.03283290924512297,0.02461756856092734,0.988381274973879,0.9949497962667063,0.9977944917369315,0.9990561343990474,0.9770614839476978,0.985465538314021
train_leave_out_hc3_plus,hc3_plus_strict_test,20918,266,276,random_forest,0.9535048802129547,0.9727702119038799,0.7950617283950617,0.7018633540372671,0.7950310559006211,0.3047619047619048,0.2406641604010025,0.19692727652464492,0.9321292467512529,0.9752397357363566,0.9587634097698865,0.984126688772711,0.7509627618410525,0.8313738537648175
train_leave_out_hc3_plus,all_samples,20918,300,276,random_forest,0.592311111111111,0.5833728650154535,0.6354679802955665,0.013333333333333334,0.02,0.9733333333333334,0.17498888888888897,0.27650870370370373,0.5318110903679654,0.6492302409337264,0.5044905624332825,0.6661535918039806,0.5787912131485556,0.6920056608741444
